,x1,x2,x3,x4,x5,x6,x7,x8,x9,y,x10,x11,x12,x13,x14,x15
86,41.323649886,5.736880751999999,-166.46000862,-9.571947456,4.585397688,11.968629060000001,-81,-38,-1002,3,1740.5558406633756,27741.84627053314,29416.57850967118,112.64805005754062,164.27395353299227,234.87025967630137
87,0.371385648,14.94321495,183.60809326199998,0.049376826,0.025149732,0.06060225,244,0,-969,1,223.4376003414439,33935.23158434919,33712.069838606825,0.0030705799655061,0.004305141724734325,0.006110703650896776
88,39.58346844,4.7100909060000005,-163.67295742200002,-7.242007704000001,3.442816212,11.631175878,-80,-37,-956,3,1589.0359300832597,26811.021947606616,28355.68796500431,64.29965905440538,147.1372357745791,187.73092788976442
89,38.288816214,3.63639951,-161.04108810600002,-5.3511343920000005,2.82320805,11.382202506,-77,-36,-933,3,1479.2568484657975,25947.45545976079,27400.26550543393,36.60514297483002,137.5250375811775,158.1891731688379
90,37.333331106,2.551983744,-158.494219782,-3.879626694,2.500375134,11.1960876,-74,-36,-924,3,1400.2902324998677,25126.930325334557,26514.195315775145,21.30337909552289,131.60425335759928,140.40388083167113
91,36.642222402,1.48038894,-155.987591742,-2.689008414,2.42743872,11.06004417,-69,-37,-925,3,1344.844013971305,24334.320328882543,25674.7812400265,13.123224989918032,128.21703578170622,129.5553432929138
92,36.147876978,0.457698378,-153.4803915,-1.8073213860000001,2.555984928,10.957454142,-62,-37,-935,3,1306.8784978218464,23556.440062798494,24862.899585009895,9.799469544456127,126.59886022619611,123.3322118663259
93,35.80033779,-0.49419991799999996,-150.95234871,-1.142373606,2.8528766340000002,10.88801712,-55,-37,-952,3,1281.9084194370535,22786.85581462439,24068.275766943538,9.443922544508615,126.6878218942363,119.85393426109856
94,35.519435406,-1.34616975,-148.387355802,-0.844716804,3.24318588,10.790222886,-49,-38,-973,3,1263.4424645568213,22020.61953490516,23280.43765347035,11.231801131191348,126.94716458178955,117.14245640851814
95,35.2817595,-2.0972404620000002,-145.774941444,-0.45449701800000003,3.706508874,10.727975964,-47,-38,-998,3,1249.2009709712902,21254.73197055708,22495.13610641747,13.94477557241164,128.82767631720247,115.29603582353263
96,0.026220498000000002,14.925779700000001,-101.087243556,-0.010838028,0.05135886,0.062713458,244,0,-969,0,222.7795871674475,10441.409709402997,10218.63149726458,0.002755195351428384,0.006570710314817364,0.004050440665246548
97,35.11125684,-2.727566736,-143.09841156,-0.045230886000000005,4.208322912000001,10.69674432,-43,-38,-1024,3,1240.2399771837806,20484.595011294474,21709.955747879587,17.71202756471251,132.13032077911643,114.42238488050062
